client,year,total,client_clue,lobbyingfirmhired,totalamount,lobbyist,revolvingdoorprofiles,formermembersofcongress,lobby_status,experience,target
Agstar Financial Services,2009,120000,Agstar Financial Services,Clark & Weinstock,120000, Christopher D'Arcy ,1,0,1,5,0
Agstar Financial Services,2010,120000,Agstar Financial Services,Clark & Weinstock,120000, Christopher D'Arcy ,1,0,1,6,0
Agstar Financial Services,2010,120000,Agstar Financial Services,Clark & Weinstock,120000, Sandi Stuart ,1,0,1,6,0
Agstar Financial Services,2010,120000,Agstar Financial Services,Clark & Weinstock,120000, Vin Weber ,1,1,1,6,0
Agstar Financial Services,2010,120000,Agstar Financial Services,Clark & Weinstock,120000, Peg McGlinch ,1,0,1,6,0
Agstar Financial Services,2010,120000,Agstar Financial Services,Clark & Weinstock,120000, Ed Kutler ,1,0,1,6,0
Agstar Financial Services,2011,120000,Agstar Financial Services,Mercury/Clark & Weinstock,120000, Jonathan Schwantes ,1,0,1,7,0
Agstar Financial Services,2011,120000,Agstar Financial Services,Mercury/Clark & Weinstock,120000, Ed Kutler ,1,0,1,7,0
Agstar Financial Services,2011,120000,Agstar Financial Services,Mercury/Clark & Weinstock,120000, Christopher D'Arcy ,1,0,1,7,0
Agstar Financial Services,2011,120000,Agstar Financial Services,Mercury/Clark & Weinstock,120000, Vin Weber ,1,1,1,7,0
Agstar Financial Services,2011,120000,Agstar Financial Services,Mercury/Clark & Weinstock,120000, Sandi Stuart ,1,0,1,7,0
Agstar Financial Services,2011,120000,Agstar Financial Services,Mercury/Clark & Weinstock,120000, Jim Dyer ,1,0,1,7,0
Agstar Financial Services,2012,180000,Agstar Financial Services,Mercury/Clark & Weinstock,90000, Jesse Appleton ,1,0,1,8,0
Agstar Financial Services,2012,180000,Agstar Financial Services,Agstar Financial Services,180000, Staci Martin ,0,0,1,8,0
Agstar Financial Services,2012,180000,Agstar Financial Services,Mercury/Clark & Weinstock,90000, Alan Elias ,1,0,1,8,0
Agstar Financial Services,2012,180000,Agstar Financial Services,Mercury/Clark & Weinstock,90000, Vin Weber ,1,1,1,8,0
Agstar Financial Services,2012,180000,Agstar Financial Services,Mercury/Clark & Weinstock,90000, Fowler West ,1,0,1,8,0
Agstar Financial Services,2013,290000,Agstar Financial Services,Mercury,120000, Fowler West ,1,0,1,9,0
Agstar Financial Services,2013,290000,Agstar Financial Services,Mercury,120000, Jesse Appleton ,1,0,1,9,0
Agstar Financial Services,2013,290000,Agstar Financial Services,Mercury,120000, Vin Weber ,1,1,1,9,0
Agstar Financial Services,2013,290000,Agstar Financial Services,Mercury,120000, Alan Elias ,1,0,1,9,0
Agstar Financial Services,2013,290000,Agstar Financial Services,Agstar Financial Services,290000, Staci Martin ,0,0,1,9,0
Agstar Financial Services,2014,210000,Agstar Financial Services,Mercury,120000, Vin Weber ,1,1,1,10,0
Agstar Financial Services,2014,210000,Agstar Financial Services,Mercury,120000, Fowler West ,1,0,1,10,0
Agstar Financial Services,2014,210000,Agstar Financial Services,Mercury,120000, Alan Elias ,1,0,1,10,0
Agstar Financial Services,2014,210000,Agstar Financial Services,Agstar Financial Services,210000, Staci Martin ,0,0,1,10,0
Agstar Financial Services,2014,210000,Agstar Financial Services,Mercury,120000, Ed Kutler ,1,0,1,10,0
Agstar Financial Services,2015,100000,Agstar Financial Services,Agstar Financial Services,100000, Staci Martin ,0,0,1,11,0
Agstar Financial Services,2016,50000,Agstar Financial Services,Agstar Financial Services,50000, Staci Martin ,0,0,1,12,0
Agstar Financial Services,2017,20000,Agstar Financial Services,Agstar Financial Services,20000, Staci Martin ,0,0,1,13,0
Al-Mawarid Bank,2015,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Erin McGrain ,0,0,1,0,0
Al-Mawarid Bank,2015,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Bret K Boyles ,1,0,1,0,0
Al-Mawarid Bank,2015,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Gassan Baloul ,0,0,1,0,0
Al-Mawarid Bank,2015,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, David Hoppe ,1,0,1,0,0
Al-Mawarid Bank,2015,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Matthew Cutts ,0,0,1,0,0
Al-Mawarid Bank,2016,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Erin McGrain ,0,0,1,1,0
Al-Mawarid Bank,2016,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Gassan Baloul ,0,0,1,1,0
Al-Mawarid Bank,2016,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Bret K Boyles ,1,0,1,1,0
Al-Mawarid Bank,2016,20000,Al-Mawarid Bank,Squire Patton Boggs,20000, Matthew Cutts ,0,0,1,1,0
Al-Mawarid Bank,2019,0,Al-Mawarid Bank,Squire Patton Boggs,0, Kathryn Strohmaier ,1,0,1,4,0
Alfa Bank,2008,440000,Alfa Bank,BGR Group,440000, Robert Blackwill ,1,0,1,4,0
Alfa Bank,2008,440000,Alfa Bank,BGR Group,440000, Edward M Jr Rogers ,1,0,1,4,0
Alfa Bank,2008,440000,Alfa Bank,BGR Group,440000, Stephen Rademaker ,1,0,1,4,0
Alfa Bank,2009,440000,Alfa Bank,BGR Group,440000, Stephen Rademaker ,1,0,1,5,0
Alfa Bank,2009,440000,Alfa Bank,BGR Group,440000, Edward M Jr Rogers ,1,0,1,5,0
Alfa Bank,2010,510000,Alfa Bank,BGR Group,510000, Edward M Jr Rogers ,1,0,1,6,0
Alfa Bank,2010,510000,Alfa Bank,BGR Group,510000, Stephen Rademaker ,1,0,1,6,0
Alfa Bank,2011,570000,Alfa Bank,BGR Group,570000, Edward M Jr Rogers ,1,0,1,7,0
Alfa Bank,2011,570000,Alfa Bank,BGR Group,570000, Walker Roberts ,1,0,1,7,0
Alfa Bank,2012,480000,Alfa Bank,BGR Group,480000, Walker Roberts ,1,0,1,8,0
Alfa Bank,2012,480000,Alfa Bank,BGR Group,480000, Edward M Jr Rogers ,1,0,1,8,0
Alfa Bank,2013,460000,Alfa Bank,BGR Group,460000, Walker Roberts ,1,0,1,9,0
Alfa Bank,2013,460000,Alfa Bank,BGR Group,460000, Edward M Jr Rogers ,1,0,1,9,0
Alfa Bank,2014,440000,Alfa Bank,BGR Group,440000, Walker Roberts ,1,0,1,10,0
Alfa Bank,2014,440000,Alfa Bank,BGR Group,440000, Edward M Jr Rogers ,1,0,1,10,0
Alfa Bank,2015,110000,Alfa Bank,BGR Group,110000, Walker Roberts ,1,0,1,11,0
Alfa Bank,2015,110000,Alfa Bank,BGR Group,110000, Edward M Jr Rogers ,1,0,1,11,0
Alliance for Consumer Credit,2009,210000,Alliance for Consumer Credit,Eris Group,210000, Doyle Bartlett ,1,0,1,0,0
Alliance for Consumer Credit,2009,210000,Alliance for Consumer Credit,Eris Group,210000, Greg P Mesack ,1,0,1,0,0
Alliance for Consumer Credit,2009,210000,Alliance for Consumer Credit,Eris Group,210000, Jesse McCollum ,1,0,1,0,0
Alliance for Consumer Credit,2009,210000,Alliance for Consumer Credit,Eris Group,210000, Jennifer L Bendall ,1,0,1,0,0
Alliance for Consumer Credit,2010,295000,Alliance for Consumer Credit,Eris Group,295000, Doyle Bartlett ,1,0,1,1,0
Alliance for Consumer Credit,2010,295000,Alliance for Consumer Credit,Eris Group,295000, Jesse McCollum ,1,0,1,1,0
Alliance for Consumer Credit,2010,295000,Alliance for Consumer Credit,Eris Group,295000, Jennifer L Bendall ,1,0,1,1,0
Alliance for Consumer Credit,2010,295000,Alliance for Consumer Credit,Eris Group,295000, Greg P Mesack ,1,0,1,1,0
Ally Financial,2011,1330000,Ally Financial,Bradley Arant et al,40000, J David Stewart ,1,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Ally Financial,1330000, Michele E Lieber ,0,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Clark Lytle et al,20000, Gary R Lytle ,0,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Clark Lytle et al,20000, Amy Wren ,1,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Clark Lytle et al,20000, Jay N III Cranford ,1,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Lugar Hellmann Group,80000, Dave Lugar ,0,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Clark Lytle et al,20000, Deborah Pryce ,1,1,1,0,0
Ally Financial,2011,1330000,Ally Financial,Bradley Arant et al,40000, Rob Couch ,1,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Clark Lytle et al,20000, Steve Clark ,0,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Clark Lytle et al,20000, Sam K Geduldig ,1,0,1,0,0
Ally Financial,2011,1330000,Ally Financial,Bradley Arant et al,40000, Thomas Worthy ,1,0,1,0,0
Ally Financial,2012,1780000,Ally Financial,Clark Lytle et al,80000, Gary R Lytle ,0,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Clark Lytle et al,80000, Sam K Geduldig ,1,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Clark Lytle et al,80000, Amy Wren ,1,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Lugar Hellmann Group,120000, Dave Lugar ,0,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Clark Lytle et al,80000, Jay N III Cranford ,1,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Ally Financial,1780000, Michele E Lieber ,0,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Clark Lytle et al,80000, Steve Clark ,0,0,1,1,0
Ally Financial,2012,1780000,Ally Financial,Tim Yehl LLC,60000, Timothy Yehl ,1,0,1,1,0
Ally Financial,2013,2110000,Ally Financial,Clark Lytle et al,80000, Sam K Geduldig ,1,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Tim Yehl LLC,80000, Timothy Yehl ,1,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Ally Financial,2110000, Michele E Lieber ,0,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Clark Lytle et al,80000, Amy Wren ,1,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Clark Lytle et al,80000, Michael Nielsen ,1,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Clark Lytle et al,80000, Jay N III Cranford ,1,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Clark Lytle et al,80000, Gary R Lytle ,0,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Lugar Hellmann Group,120000, Dave Lugar ,0,0,1,2,0
Ally Financial,2013,2110000,Ally Financial,Clark Lytle et al,80000, Steve Clark ,0,0,1,2,0
Ally Financial,2014,2510000,Ally Financial,Capitol Hill Strategies,35000, Heather McHugh ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,RR&G LLC,60000, Jonathan R Paret ,0,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,RR&G LLC,60000, Warren Tryon ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Michael Nielsen ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Lugar Hellmann Group,80000, Dave Lugar ,0,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Capitol Hill Strategies,35000, Beau Schuyler ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Capitol Hill Strategies,35000, Adam J Wojciak ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Jay N III Cranford ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Capitol Hill Strategies,35000, Charles M Brain ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Amy Wren ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Ally Financial,2510000, Michele E Lieber ,0,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Steve Clark ,0,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Gary R Lytle ,0,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Sam K Geduldig ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Tim Yehl LLC,80000, Timothy Yehl ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,RR&G LLC,60000, Geof Gradler ,1,0,1,3,0
Ally Financial,2014,2510000,Ally Financial,Clark Geduldig et al,80000, Deborah Pryce ,1,1,1,3,0
Ally Financial,2015,2110000,Ally Financial,Capitol Counsel,80000, De'ana Dow ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Counsel,80000, Jenn Fogel-Bublick ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Deborah Pryce ,1,1,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Hill Strategies,80000, Heather McHugh ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Michael J Catanzaro ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Counsel,80000, Warren Tryon ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Tim Yehl LLC,80000, Timothy Yehl ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Counsel,80000, Jeffrey M Walter ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Ogilvy Government Relations,10000, Tim McGivern ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Jay N III Cranford ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Steve Clark ,0,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Sam K Geduldig ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Hill Strategies,80000, Beau Schuyler ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Hill Strategies,80000, Charles M Brain ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Hill Strategies,80000, Adam J Wojciak ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Michael Nielsen ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Douglas Schwartz ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Amy Wren ,1,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,CGCN Group,92000, Gary R Lytle ,0,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Lugar Hellmann Group,84000, Dave Lugar ,0,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Ally Financial,2110000, Michele E Lieber ,0,0,1,4,0
Ally Financial,2015,2110000,Ally Financial,Capitol Counsel,80000, John D Raffaelli ,1,0,1,4,0
Ally Financial,2016,2390000,Ally Financial,Capitol Counsel,70000, John D Raffaelli ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Lugar Hellmann Group,96000, Dave Lugar ,0,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Hill Strategies,80000, Heather McHugh ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Deborah Pryce ,1,1,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Counsel,70000, Warren Tryon ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Michael J Catanzaro ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Tim Yehl LLC,80000, Timothy Yehl ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Counsel,70000, Jeffrey M Walter ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Gary R Lytle ,0,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Amy Wren ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Hill Strategies,80000, Adam J Wojciak ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Sam K Geduldig ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Signal Group,70000, Langston Emerson ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Hill Strategies,80000, Beau Schuyler ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Douglas Schwartz ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Jay N III Cranford ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Hill Strategies,80000, Charles M Brain ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Ogilvy Government Relations,80000, Tim McGivern ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Michael Nielsen ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Ally Financial,2390000, Michele E Lieber ,0,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, Steve Clark ,0,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Counsel,70000, De'ana Dow ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,Capitol Counsel,70000, Jenn Fogel-Bublick ,1,0,1,5,0
Ally Financial,2016,2390000,Ally Financial,CGCN Group,96000, John Stipicevic ,1,0,1,5,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Steve Clark ,0,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Mike Freeman ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Michael J Catanzaro ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Counsel,80000, Jeffrey M Walter ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Ally Financial,2360000, Joshua P Wilsusen ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Gary R Lytle ,0,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Juliane Carter Sullivan ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Ogilvy Government Relations,70000, Tim McGivern ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Hill Strategies,80000, Heather McHugh ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Tim Yehl LLC,20000, Timothy Yehl ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Hill Strategies,80000, Adam J Wojciak ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Counsel,80000, Jenn Fogel-Bublick ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Douglas Schwartz ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Hill Strategies,80000, Charles M Brain ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Katie Mitchell ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Counsel,80000, De'ana Dow ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Venable LLP,0, Samuel Olchyk ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Amy Wren ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Lugar Hellmann Group,96000, Dave Lugar ,0,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Washington Tax & Public Policy Group,80000, Brian Diffell ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Jay N III Cranford ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, John Stipicevic ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Sam K Geduldig ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Counsel,80000, Warren Tryon ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Washington Tax & Public Policy Group,80000, Jan Fowler ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Counsel,80000, John D Raffaelli ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,CGCN Group,56000, Michael Nielsen ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Capitol Hill Strategies,80000, Beau Schuyler ,1,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Ally Financial,2360000, Michele E Lieber ,0,0,1,6,0
Ally Financial,2017,2640000,Ally Financial,Washington Tax & Public Policy Group,80000, Gregory Nickerson ,1,0,1,6,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Katherine Dapper ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Counsel,80000, John D Raffaelli ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Todd M Weiss ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Counsel,80000, De'ana Dow ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Hill Strategies,80000, Heather McHugh ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Hill Strategies,80000, Beau Schuyler ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Ally Financial,2330000, Kristin Eagan ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Jason Gleason ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Jason Benjamin Van Pelt ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Counsel,80000, Warren Tryon ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Wally Burnett ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Hill Strategies,80000, Charles M Brain ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Hill Strategies,80000, Adam J Wojciak ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Counsel,80000, Jeffrey M Walter ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Resolution Public Affairs,6000, Heather McHugh ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Capitol Counsel,80000, Jenn Fogel-Bublick ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Mathew Lapinski ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Crossroads Strategies,120000, Chris J Miller ,1,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Lugar Hellmann Group,24000, Dave Lugar ,0,0,1,7,0
Ally Financial,2018,2330000,Ally Financial,Ally Financial,2330000, Joshua P Wilsusen ,1,0,1,7,0
Ally Financial,2019,2250000,Ally Financial,Capitol Counsel,80000, Warren Tryon ,1,0,1,8,1
Ally Financial,2019,2250000,Ally Financial,Crossroads Strategies,120000, Alex Gleason ,1,0,1,8,1
Ally Financial,2019,2250000,Ally Financial,Crossroads Strategies,120000, Mathew Lapinski ,1,0,1,8,1
Ally Financial,2019,2250000,Ally Financial,Crossroads Strategies,120000, Jason Gleason ,1,0,1,8,1
Ally Financial,2019,2250000,Ally Financial,Capitol Counsel,80000, Jenn Fogel-Bublick ,1,0,1,8,1
Ally Financial,2019,2250000,Ally Financial,Capitol Counsel,80000, John D Raffaelli ,1,0,1,8,1
